NOC,Sport,Year,Gold,Silver,Bronze,No_Medal,Participants,Gold_per_Participant,Silver_per_Participant,Bronze_per_Participant,No_Medal_per_Participant,Weighted_Sum,Weighted_Sum_Diff
AHO,Athletics,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Athletics,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Athletics,2004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Athletics,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Equestrian,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Equestrian,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Fencing,1964,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Fencing,1968,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Football,1952,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,
AHO,Judo,1976,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AHO,Judo,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Sailing,1988,0,1,0,0,1,0.0,1.0,0.0,0.0,2.0,
AHO,Sailing,1992,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,2.0
AHO,Sailing,1996,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Sailing,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Shooting,1972,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Shooting,1988,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Shooting,1992,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Shooting,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Shooting,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Shooting,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Swimming,1984,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
AHO,Swimming,1988,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Swimming,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Swimming,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Swimming,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Synchronized Swimming,1984,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AHO,Triathlon,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Weightlifting,1960,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,
AHO,Weightlifting,1964,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Weightlifting,1968,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Weightlifting,1972,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AIN,Canoeing,2024,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,
AIN,Cycling Road,2024,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,
AIN,Gymnastics,2024,1,1,0,0,3,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0,
AIN,Rowing,2024,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,
AIN,Shooting,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AIN,Swimming,2024,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,
AIN,Taekwondo,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AIN,Tennis,2024,0,2,0,0,7,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,
AIN,Weightlifting,2024,0,0,1,0,2,0.0,0.0,0.5,0.0,0.5,
AIN,Wrestling,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALB,Athletics,1992,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Athletics,1996,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,2004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,2008,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Cycling,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Gymnastics,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Judo,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Judo,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Judo,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Shooting,1972,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,
ALB,Shooting,1992,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALB,Shooting,1996,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Shooting,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Shooting,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Shooting,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Shooting,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Shooting,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Swimming,1992,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Swimming,2004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALB,Swimming,2008,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Swimming,2012,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Swimming,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Swimming,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Swimming,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Weightlifting,1972,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Weightlifting,1992,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
ALB,Weightlifting,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Weightlifting,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Weightlifting,2004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Weightlifting,2008,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Weightlifting,2012,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Weightlifting,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Weightlifting,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Wrestling,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Wrestling,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALB,Wrestling,2008,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Wrestling,2024,0,0,2,0,3,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,
ALG,Athletics,1972,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,
ALG,Athletics,1980,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,
ALG,Athletics,1984,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Athletics,1988,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Athletics,1992,1,0,0,0,9,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,-0.4444444444444444
ALG,Athletics,1996,1,0,0,0,8,0.125,0.0,0.0,0.0,0.5,-0.05555555555555558
ALG,Athletics,2000,1,1,2,0,21,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,0.38095238095238093,0.11904761904761907
ALG,Athletics,2004,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.38095238095238093
ALG,Athletics,2008,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Athletics,2012,1,0,0,0,6,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666
ALG,Athletics,2016,0,2,0,0,15,0.0,0.13333333333333333,0.0,0.0,0.26666666666666666,0.39999999999999997
ALG,Athletics,2020,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
ALG,Athletics,2024,0,0,1,0,8,0.0,0.0,0.125,0.0,0.125,-0.125
ALG,Badminton,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Badminton,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Boxing,1968,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Boxing,1972,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Boxing,1980,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Boxing,1984,0,0,2,0,7,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,-0.2857142857142857
ALG,Boxing,1988,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
ALG,Boxing,1992,0,0,1,0,8,0.0,0.0,0.125,0.0,0.125,-0.125
ALG,Boxing,1996,1,0,1,0,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.8333333333333333,-0.7083333333333333
ALG,Boxing,2000,0,0,1,0,7,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.6904761904761905
ALG,Boxing,2004,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
ALG,Boxing,2008,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Boxing,2012,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Boxing,2016,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Boxing,2020,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Boxing,2024,1,0,0,0,5,0.2,0.0,0.0,0.0,0.8,-0.8
ALG,Canoeing,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Canoeing,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Cycling,1988,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Cycling,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Cycling,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Cycling,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Cycling Road,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Cycling Road,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Fencing,1980,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Fencing,1996,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Fencing,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Fencing,2004,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Fencing,2008,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Fencing,2012,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Fencing,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Fencing,2020,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Fencing,2024,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Football,1980,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,
ALG,Football,2016,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,
ALG,Gymnastics,1964,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Gymnastics,1968,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Gymnastics,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Gymnastics,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Gymnastics,2024,1,0,0,0,1,1.0,0.0,0.0,0.0,4.0,
ALG,Handball,1980,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,
ALG,Handball,1984,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Handball,1988,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Handball,1996,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,
ALG,Judo,1980,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
ALG,Judo,1988,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,
ALG,Judo,1992,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Judo,1996,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Judo,2000,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Judo,2004,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Judo,2008,0,1,1,0,10,0.0,0.1,0.1,0.0,0.30000000000000004,-0.30000000000000004
ALG,Judo,2012,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
ALG,Judo,2016,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Judo,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Judo,2024,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Karate,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Marathon Swimming,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Rowing,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Rowing,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Rowing,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Rowing,2008,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Rowing,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Rowing,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Rowing,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Rowing,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Sailing,2016,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
ALG,Sailing,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Sailing,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Shooting,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Shooting,2016,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Shooting,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Shooting,2024,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Swimming,1980,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,
ALG,Swimming,1992,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Swimming,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Swimming,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Swimming,2004,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Swimming,2008,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Swimming,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Swimming,2016,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Swimming,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Swimming,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Table Tennis,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Table Tennis,2004,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Table Tennis,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Table Tennis,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Table Tennis,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Taekwondo,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Tennis,1988,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Tennis,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
ALG,Volleyball,1992,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,
ALG,Volleyball,2008,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,
ALG,Volleyball,2012,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,1980,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
ALG,Weightlifting,1984,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,1988,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,1992,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,1996,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,2004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Weightlifting,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Wrestling,1980,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
ALG,Wrestling,1992,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
ALG,Wrestling,1996,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Wrestling,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Wrestling,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Wrestling,2008,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Wrestling,2012,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Wrestling,2016,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Wrestling,2020,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
ALG,Wrestling,2024,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,1988,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AND,Athletics,1992,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,2004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,2008,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,2012,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,2016,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Athletics,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Boxing,1976,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AND,Canoeing,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AND,Canoeing,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AND,Canoeing,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Cycling,1988,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AND,Cycling,1992,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
AND,Judo,1992,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AND,Judo,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Judo,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AND,Judo,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Judo,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Judo,2016,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Sailing,1992,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AND,Sailing,1996,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
AND,Shooting,1976,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AND,Shooting,1980,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Shooting,1984,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Shooting,1992,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AND,Shooting,1996,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Shooting,2000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Shooting,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Shooting,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AND,Shooting,2016,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Swimming,1996,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AND,Swimming,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Swimming,2004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Swimming,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AND,Swimming,2012,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AND,Swimming,2016,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,1980,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
ANG,Athletics,1988,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,
ANG,Athletics,1992,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,1996,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,2000,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,2008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,2012,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Athletics,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Basketball,1992,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,
ANG,Basketball,1996,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Basketball,2000,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Basketball,2004,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Basketball,2008,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Basketball,2012,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
ANG,Beach Volleyball,2008,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
