NOC,Athletics,Hockey,Wrestling,Boxing,Judo,Swimming,Cycling Road,Taekwondo,Shooting,Football,Sailing,Equestrian,Weightlifting,Synchronized Swimming,Fencing,Triathlon,Canoeing,Gymnastics,Tennis,Rowing,Cycling,Handball,Table Tennis,Volleyball,Badminton,Karate,Marathon Swimming,Basketball,Beach Volleyball,Rugby,Golf,Water Polo,Modern Pentathlon,Diving,Archery,Cycling BMX Racing,Cycling BMX Freestyle,Surfing,Skateboarding,Cycling Mountain Bike,Baseball,Artistic Swimming,Cycling Track,Softball,Breaking,Sport Climbing
CHI,123,0,7,26,9,26,2,5,49,81,29,64,8,0,12,9,9,18,48,37,50,0,35,0,0,0,0,24,6,0,5,0,23,3,5,1,2,1,1,2,0,0,0,0,0,0
CHN,654,231,147,131,171,1029,5,87,621,174,117,28,482,143,390,13,245,1472,98,326,123,94,686,439,502,6,2,289,34,27,14,102,29,789,188,0,9,1,6,4,24,128,48,105,4,15
CIV,119,0,2,8,13,9,0,25,0,37,0,0,0,0,3,0,20,0,3,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CMR,114,0,25,49,25,9,0,0,0,193,0,0,13,0,0,0,0,0,0,2,28,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,36,0,0,20,11,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COK,16,0,0,3,0,9,0,0,0,0,5,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,260,0,33,65,18,125,9,12,70,139,7,21,103,2,61,4,1,51,20,1,213,0,3,0,0,0,0,0,0,12,6,0,0,30,30,12,1,0,2,1,0,2,11,0,0,0
COM,17,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,13,0,0,6,3,4,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRC,45,0,0,3,18,76,3,4,25,47,0,0,4,0,1,3,6,5,1,0,20,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,1,4,0,0,0,0,0,0,0,0
CRO,106,0,7,12,16,119,1,29,77,0,74,2,11,0,1,0,33,39,79,127,8,335,47,11,0,1,0,94,0,0,0,308,0,1,0,0,1,0,0,0,0,0,0,0,0,0
CUB,644,16,258,508,207,61,2,33,115,29,14,0,88,2,177,0,95,331,0,129,71,27,24,390,1,0,0,120,18,0,0,57,6,35,9,0,0,0,0,0,704,0,0,15,0,0
CYP,74,0,2,0,13,37,2,0,28,0,39,0,1,0,1,0,0,25,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CZE,293,0,12,10,35,127,9,2,160,16,26,14,9,10,18,21,219,74,144,98,86,0,26,0,10,0,2,48,26,0,5,0,26,1,7,0,1,0,0,4,0,0,6,0,0,2
DEN,128,12,32,43,4,322,21,6,139,123,422,152,13,0,35,9,179,93,18,394,334,792,18,0,164,0,0,0,0,0,12,0,12,8,29,3,0,0,2,6,0,0,68,0,0,0
DJI,36,0,0,0,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,26,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM,136,0,8,71,30,12,0,15,10,19,2,4,33,4,0,0,0,5,2,1,1,0,15,48,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,20,0,0,48,0,0
ECU,140,0,18,31,21,52,10,1,24,0,1,7,35,0,0,4,2,21,6,1,26,0,3,0,0,0,3,0,0,0,1,0,3,2,1,3,0,1,0,0,0,0,0,0,0,0
EGY,57,32,112,81,47,96,0,26,118,122,7,27,76,40,181,1,8,151,3,53,6,118,59,73,7,13,0,58,4,0,0,43,48,24,19,0,0,0,0,0,0,28,3,0,0,0
EOR,15,0,3,5,24,4,4,8,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ERI,59,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESA,38,0,5,3,11,89,0,0,26,18,6,0,8,0,0,0,0,0,1,3,17,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
ESP,744,670,37,73,126,489,16,48,188,574,420,204,39,93,95,44,357,891,197,135,292,361,32,36,22,12,8,411,34,25,12,518,29,38,65,0,0,3,10,6,20,30,8,0,0,10
EST,110,0,23,0,14,56,4,0,16,0,31,2,2,0,68,4,6,1,8,56,38,0,1,0,8,0,0,0,4,0,0,0,3,0,6,0,0,0,0,2,0,0,0,0,0,0
ETH,589,0,0,27,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUN,243,15,82,16,29,191,0,0,70,0,14,15,57,5,79,0,40,246,10,51,21,122,11,44,2,0,0,108,0,0,0,26,16,15,16,0,0,0,0,0,0,0,0,0,0,0
FIJ,67,0,0,5,19,64,0,2,4,16,25,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,316,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
FIN,650,11,199,79,29,228,2,5,230,27,170,55,69,1,41,0,143,404,3,120,90,0,1,0,16,0,0,23,0,0,12,0,67,20,65,0,0,0,2,1,0,0,0,0,0,0
FRA,1251,100,133,176,553,1030,23,42,331,365,326,538,86,43,1318,55,440,1212,145,535,697,840,77,259,34,10,7,386,18,193,12,75,93,65,127,22,4,16,12,18,0,13,75,0,7,11
FRG,587,385,99,49,48,467,0,0,124,69,110,369,54,10,387,0,150,400,18,405,205,103,10,34,0,0,0,24,0,0,0,70,30,39,24,0,0,0,0,0,0,0,0,0,0,0
FSM,12,0,1,1,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,24,0,0,12,12,5,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAM,57,0,3,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,2243,723,64,265,158,1473,22,56,249,93,594,777,108,30,377,112,360,992,107,1435,804,28,39,24,104,0,5,24,6,100,22,44,144,244,119,16,15,0,7,12,0,10,208,0,0,12
GBS,14,0,12,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDR,908,14,82,92,40,980,0,0,121,238,96,28,56,0,53,0,317,598,0,1271,201,225,0,132,0,0,0,0,0,0,0,11,6,66,0,0,0,0,0,0,0,0,0,0,0,0
GEO,24,0,141,18,128,11,0,0,24,0,2,0,54,0,4,0,1,34,5,0,1,0,0,0,0,1,0,0,4,0,0,0,1,3,18,0,0,0,0,0,0,0,0,0,0,0
GEQ,41,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GER,1398,967,191,141,196,926,21,17,343,449,243,915,97,4,407,47,1129,966,129,1204,586,292,140,73,60,4,20,92,90,0,15,89,56,187,80,4,2,3,4,7,0,0,135,0,0,5
GHA,208,0,0,65,3,6,0,0,0,118,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRE,454,0,132,29,37,270,2,28,105,45,205,13,121,20,27,3,15,180,35,95,36,30,23,24,2,0,2,72,14,0,0,293,4,37,18,0,0,0,0,1,23,12,1,14,0,0
GRN,59,0,0,9,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUA,93,0,24,7,7,89,1,5,66,53,12,6,14,0,7,0,1,18,0,5,35,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI,31,0,3,7,14,12,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GUM,23,0,9,1,9,46,0,0,0,0,8,0,5,0,0,1,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GUY,56,0,0,20,1,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAI,50,0,1,8,16,7,0,3,0,0,0,0,2,0,2,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HKG,39,17,0,2,18,245,4,1,35,0,54,7,1,0,107,5,27,12,0,23,55,0,107,0,46,2,1,0,0,0,2,0,0,7,11,0,0,0,0,0,0,0,9,0,0,0
HON,32,0,2,6,8,70,0,3,1,90,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUN,609,0,364,144,119,974,5,12,265,485,81,55,144,4,1143,23,1021,1182,38,133,88,315,47,47,9,2,16,49,0,0,0,999,263,33,15,0,0,0,0,2,0,0,0,0,0,0
INA,47,0,2,21,10,47,0,3,13,13,14,0,89,0,11,0,7,2,18,6,12,0,11,0,246,0,0,0,4,0,0,0,0,4,65,0,0,2,0,0,0,0,1,0,0,11
IND,281,866,118,67,17,33,0,0,179,40,18,12,43,0,1,0,0,93,46,13,26,0,42,0,43,0,0,12,0,0,11,10,0,2,79,0,0,0,0,0,0,0,0,0,0,0
IOA,13,0,9,1,5,10,0,0,32,0,1,0,1,5,2,0,7,2,1,2,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRI,69,0,370,49,18,8,3,55,52,48,0,1,145,0,69,0,9,14,0,9,70,0,13,24,2,10,0,24,0,0,0,11,0,1,7,0,0,0,0,0,0,0,0,0,0,1
IRL,331,51,9,167,18,176,8,2,26,0,99,210,3,0,45,7,56,33,7,126,70,0,0,0,10,0,3,0,0,41,12,0,11,5,11,0,0,0,0,0,0,0,21,0,0,0
IRQ,49,0,23,22,3,5,0,1,4,99,0,0,31,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ISL,100,0,0,0,16,129,0,0,6,0,6,0,7,0,0,1,0,25,0,0,0,144,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,101,0,17,5,104,201,4,6,66,51,87,13,13,8,22,4,16,177,20,0,4,0,1,0,5,0,2,12,0,0,1,0,0,3,5,0,0,2,0,2,0,4,2,24,0,0
ISV,63,0,4,10,0,86,0,0,23,0,51,4,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ITA,1136,33,146,249,174,930,30,35,460,166,319,334,82,52,1542,32,303,1215,131,742,717,0,22,477,4,13,11,245,42,0,11,701,124,147,166,3,0,2,5,8,88,21,107,45,1,7
IVB,36,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAM,1430,0,0,22,2,44,0,1,2,0,17,2,3,0,0,1,0,5,0,0,36,0,6,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
JOR,23,0,4,13,2,17,0,27,17,0,0,5,0,0,2,1,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JPN,821,155,648,99,711,1105,7,12,238,365,149,217,154,174,333,36,121,2052,81,151,182,111,181,663,126,19,4,199,24,77,16,99,54,98,132,4,3,12,65,3,216,21,49,535,11,15
KAZ,172,0,133,159,87,81,7,14,89,0,0,0,106,10,19,7,87,73,24,10,51,14,5,12,1,7,1,0,0,0,0,74,21,13,39,0,0,0,0,0,0,2,5,0,1,2
KEN,1013,110,7,81,9,17,0,3,32,0,4,0,9,0,1,0,0,0,0,2,1,0,0,49,0,0,0,0,2,63,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
KGZ,36,0,71,16,18,82,0,2,19,0,1,0,8,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
KIR,9,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,252,369,281,163,332,299,3,146,369,185,45,56,161,11,419,1,49,636,30,65,111,620,199,239,276,1,0,170,0,13,24,13,41,41,652,0,0,0,0,0,260,2,2,24,1,5
KOS,4,0,1,2,37,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSA,112,0,0,0,5,12,0,2,15,52,0,39,9,0,12,0,0,0,0,1,14,0,3,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
KUW,53,0,0,3,24,39,0,1,33,51,1,0,2,0,58,0,0,0,0,3,0,26,3,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
LAO,30,0,0,9,2,12,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LAT,136,0,8,2,12,34,5,0,21,0,8,2,23,0,1,0,27,38,11,8,58,0,1,0,0,1,0,48,16,0,0,0,21,1,0,4,1,0,0,1,0,0,0,0,0,0
LBA,29,0,0,0,8,17,0,3,1,0,0,0,8,0,0,0,0,0,0,3,14,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LBN,1,0,0,0,2,4,0,1,2,0,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,84,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCA,33,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LES,55,0,0,10,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,29,0,23,8,18,43,0,1,23,0,3,0,16,0,55,0,1,0,0,1,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,27,0,0,0,17,10,0,0,13,0,0,1,0,0,0,0,0,7,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
LTU,156,0,22,17,9,111,3,0,15,0,17,2,7,0,0,0,39,34,1,58,76,0,5,0,3,0,0,126,2,0,0,0,42,0,0,0,0,0,0,0,0,0,10,0,4,0
LUX,63,0,8,9,4,43,6,0,22,11,1,2,2,0,47,6,9,138,8,0,38,0,11,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
MAD,61,0,1,12,15,25,0,0,0,0,0,0,6,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL,13,17,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,305,0,42,96,34,13,3,20,11,148,2,12,12,0,33,2,8,49,6,2,20,0,1,0,0,1,0,12,4,0,3,0,2,0,1,1,0,2,1,0,0,0,0,0,2,0
MAS,69,126,2,3,1,99,1,4,24,15,13,0,12,0,4,0,1,21,0,0,52,0,4,0,102,0,0,0,0,0,8,0,0,51,30,0,0,0,0,0,0,0,13,0,0,0
MAW,48,0,0,16,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MDA,72,0,32,10,18,45,0,1,11,0,0,1,26,0,0,0,26,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
MDV,35,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,372,34,72,119,36,391,3,44,105,318,70,186,38,34,88,23,71,239,29,73,132,0,7,36,6,0,3,59,14,0,11,40,77,229,88,0,0,1,0,4,0,13,15,39,0,0
MGL,28,0,146,76,156,13,2,1,85,0,0,0,16,0,0,0,0,49,0,0,24,0,2,0,0,0,0,4,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
MHL,7,0,0,0,0,10,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,12,0,11,0,3,33,0,5,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,36,0,0,5,14,13,0,5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT,19,0,4,0,9,20,0,0,21,0,10,0,2,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MNE,9,0,0,3,4,7,0,0,5,0,4,0,0,0,0,0,0,0,2,0,0,86,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON,7,0,0,0,10,15,0,1,34,0,11,0,2,0,7,1,0,6,0,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MOZ,47,0,0,9,5,33,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
