Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss
David Svoboda,Modern Pentathlon,Modern Pentathlon Men's Individual,CZE,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Denis Pankratov,Swimming,Swimming Men's 200 metres Butterfly,RUS,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Donald Thompson,Athletics,Athletics Men's 50 kilometres Walk,GBR,1964,No medal,1,1,1956,24,1,4,1.80507535,0.09221679,17.40667722
Epke Zonderland,Gymnastics,Gymnastics Men's Horizontal Bar,NED,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Francisco Luna,Sailing,Sailing Men's Two Person Dinghy,ESP,1996,No medal,1,1,1988,24,1,4,1.80507535,0.09221679,17.40667722
Gaston Roelants,Athletics,"Athletics Men's 3,000 metres Steeplechase",BEL,1968,No medal,1,1,1960,24,1,4,1.80507535,0.09221679,17.40667722
Ghada Shouaa,Athletics,Athletics Women's Heptathlon,SYR,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Gillian (-donaldson),Fencing,"Fencing Women's Foil, Individual",GBR,1960,No medal,1,1,1952,24,1,4,1.80507535,0.09221679,17.40667722
Hamid Reihanpour,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",IRI,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Hassiba Boulmerka,Athletics,"Athletics Women's 1,500 metres",ALG,1996,No medal,1,1,1988,24,1,4,1.80507535,0.09221679,17.40667722
Igor Cassina,Gymnastics,Gymnastics Men's Horizontal Bar,ITA,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Ilke Wyludda,Athletics,Athletics Women's Discus Throw,GER,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Irving Arana,Athletics,Athletics Men's Long Jump,PAN,2012,No medal,1,1,2004,24,1,4,1.80507535,0.09221679,17.40667722
Ivan Patzaichin,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",ROU,1976,No medal,1,1,1968,24,1,4,1.80507535,0.09221679,17.40667722
Janusz Pyciak-peciak,Modern Pentathlon,Modern Pentathlon Men's Individual,POL,1980,No medal,1,1,1972,24,1,4,1.80507535,0.09221679,17.40667722
Jean Galfione,Athletics,Athletics Men's Pole Vault,FRA,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Jnos Varga,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",HUN,1972,No medal,1,1,1964,24,1,4,1.80507535,0.09221679,17.40667722
Jolanda (-toussaint),Swimming,Swimming Women's 200 metres Backstroke,NED,1988,No medal,1,1,1980,24,1,4,1.80507535,0.09221679,17.40667722
Jos Tuliesa,Sailing,Sailing Mixed Multihull,ESP,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Juha Tiainen,Athletics,Athletics Men's Hammer Throw,FIN,1988,No medal,1,1,1980,24,1,4,1.80507535,0.09221679,17.40667722
Karin Richert-balzer,Athletics,Athletics Women's 80 metres Hurdles,GDR,1968,No medal,1,1,1960,24,1,4,1.80507535,0.09221679,17.40667722
Kyle Shewfelt,Gymnastics,Gymnastics Men's Floor Exercise,CAN,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Laura Asadauskait-zadneprovskien,Modern Pentathlon,Modern Pentathlon Women's Individual,LTU,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Lei Sheng,Fencing,"Fencing Men's Foil, Individual",CHN,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Marianne Vos,Cycling,"Cycling Women's Road Race, Individual",NED,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Marina Neira,Sailing,Sailing Women's Windsurfer,ESP,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Martn Purcell,Swimming,Swimming Men's 200 metres Backstroke,ESP,1996,No medal,1,1,1988,24,1,4,1.80507535,0.09221679,17.40667722
Mikls Nmeth,Athletics,Athletics Men's Javelin Throw,HUN,1980,No medal,1,1,1972,24,1,4,1.80507535,0.09221679,17.40667722
Mzahir Sille,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",TUR,1964,No medal,1,1,1956,24,1,4,1.80507535,0.09221679,17.40667722
Nabiba Temu,Athletics,"Athletics Men's 10,000 metres",KEN,1972,No medal,1,1,1964,24,1,4,1.80507535,0.09221679,17.40667722
Nataliya Dobrynska,Athletics,Athletics Women's Heptathlon,UKR,2012,No medal,1,1,2004,24,1,4,1.80507535,0.09221679,17.40667722
Nicole Cooke,Cycling,"Cycling Women's Road Race, Individual",GBR,2012,No medal,1,1,2004,24,1,4,1.80507535,0.09221679,17.40667722
Nicols Fried,Tennis,Tennis Men's Doubles,CHI,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Nicols Fried,Tennis,Tennis Men's Singles,CHI,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Nikolay Andrianov,Gymnastics,Gymnastics Men's Rings,URS,1980,No medal,1,1,1972,24,1,4,1.80507535,0.09221679,17.40667722
Nobutaka Taguchi,Swimming,Swimming Men's 100 metres Breaststroke,JPN,1976,No medal,1,1,1968,24,1,4,1.80507535,0.09221679,17.40667722
Noureddine Morceli,Athletics,"Athletics Men's 1,500 metres",ALG,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Paolo Bettini,Cycling,"Cycling Men's Road Race, Individual",ITA,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Pawe Nastula,Judo,Judo Men's Half-Heavyweight,POL,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Penelope Heyns,Swimming,Swimming Women's 200 metres Breaststroke,RSA,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Pierre Trentin,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,1972,No medal,1,1,1964,24,1,4,1.80507535,0.09221679,17.40667722
Poul-Erik Hyer),Badminton,Badminton Men's Singles,DEN,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Pyotr Bolotnikov,Athletics,"Athletics Men's 10,000 metres",URS,1964,No medal,1,1,1956,24,1,4,1.80507535,0.09221679,17.40667722
Rexy Mainaky,Badminton,Badminton Men's Doubles,INA,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Ricky Subagja,Badminton,Badminton Men's Doubles,INA,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Robert Harting,Athletics,Athletics Men's Discus Throw,GER,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Roberto Donna,Shooting,"Shooting Men's Air Pistol, 10 metres",ITA,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Roger Federer,Tennis,Tennis Men's Doubles,SUI,2012,No medal,1,1,2004,24,1,4,1.80507535,0.09221679,17.40667722
Rosemarie Witschas-ackermann,Athletics,Athletics Women's High Jump,GDR,1980,No medal,1,1,1972,24,1,4,1.80507535,0.09221679,17.40667722
Rubn Gascn,Fencing,"Fencing Men's epee, Individual",VEN,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Sally (-bigg),Athletics,Athletics Women's 400 metres Hurdles,GBR,1996,No medal,1,1,1988,24,1,4,1.80507535,0.09221679,17.40667722
Sarah Menezes,Judo,Judo Women's Extra-Lightweight,BRA,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Serena Williams,Tennis,Tennis Women's Singles,USA,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Silke (-lange),Athletics,Athletics Women's Javelin Throw,GER,1996,No medal,1,1,1988,24,1,4,1.80507535,0.09221679,17.40667722
Stefan Holm,Athletics,Athletics Men's High Jump,SWE,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Stefano Baldini,Athletics,Athletics Men's Marathon,ITA,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Stephanie Brown-trafton,Athletics,Athletics Women's Discus Throw,USA,2012,No medal,1,1,2004,24,1,4,1.80507535,0.09221679,17.40667722
Stephen Ovett,Athletics,Athletics Men's 800 metres,GBR,1984,No medal,1,1,1976,24,1,4,1.80507535,0.09221679,17.40667722
Steven Hooker,Athletics,Athletics Men's Pole Vault,AUS,2012,No medal,1,1,2004,24,1,4,1.80507535,0.09221679,17.40667722
Sun Yang,Swimming,"Swimming Men's 1,500 metres Freestyle",CHN,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Tia Haver-),Athletics,Athletics Women's High Jump,BEL,2012,No medal,1,1,2004,24,1,4,1.80507535,0.09221679,17.40667722
Valeriy Honcharov,Gymnastics,Gymnastics Men's Parallel Bars,UKR,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Vebjrn Rodal,Athletics,Athletics Men's 800 metres,NOR,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Viorica (belmega-),Athletics,Athletics Women's Long Jump,ROU,1972,No medal,1,1,1964,24,1,4,1.80507535,0.09221679,17.40667722
Yana Shemiakina,Fencing,"Fencing Women's epee, Individual",UKR,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Yu Seung-min,Table Tennis,Table Tennis Men's Singles,KOR,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Yukio Endo,Gymnastics,Gymnastics Men's Individual All-Around,JPN,1968,No medal,1,1,1960,24,1,4,1.80507535,0.09221679,17.40667722
Yukio Endo,Gymnastics,Gymnastics Men's Parallel Bars,JPN,1968,No medal,1,1,1960,24,1,4,1.80507535,0.09221679,17.40667722
Zsuzsanna Vrs,Modern Pentathlon,Modern Pentathlon Women's Individual,HUN,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Daniele Masala,Modern Pentathlon,Modern Pentathlon Men's Individual,ITA,1988,No medal,1,1,1976,28,2.372197781,8.335021663,1.386291809,0.054146485,17.0194832
Leontine Moorsel,Cycling,"Cycling Women's Road Race, Individual",NED,2004,No medal,1,1,1992,28,2.372197781,8.335021663,1.386291809,0.054146485,17.0194832
Maurren Maggi,Athletics,Athletics Women's Long Jump,BRA,2012,No medal,1,1,2000,28,2.372197781,8.335021663,1.386291809,0.054146485,17.0194832
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
